num_vtx : edge_density : num_edges | num_groups_hash_level_0 num_groups_hash_level_1 ... | time_spent
15 : 0.94 : 96 | 4, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9 | 1 ms
15 : 0.94 : 98 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
15 : 0.92 : 97 | 4, 7, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10 | 1 ms
15 : 0.92 : 98 | 3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 1 ms
15 : 0.92 : 94 | 4, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11 | 1 ms
15 : 0.92 : 95 | 4, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11 | 1 ms
15 : 0.92 : 91 | 5, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13 | 1 ms
15 : 0.92 : 101 | 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2 | 1 ms
15 : 0.92 : 97 | 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 1 ms
15 : 0.92 : 99 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.9 : 98 | 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
15 : 0.9 : 98 | 3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 1 ms
15 : 0.9 : 88 | 6, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14 | 1 ms
15 : 0.9 : 87 | 6, 13, 14, 15 | 0 ms
15 : 0.9 : 100 | 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4 | 1 ms
15 : 0.9 : 100 | 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5 | 1 ms
15 : 0.9 : 98 | 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7 | 1 ms
15 : 0.9 : 94 | 4, 9, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.88 : 94 | 5, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10 | 1 ms
15 : 0.88 : 90 | 5, 10, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12 | 1 ms
15 : 0.88 : 97 | 3, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6 | 1 ms
15 : 0.88 : 93 | 5, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13 | 1 ms
